appid,genres
1144170,"Free To Play, Massively Multiplayer, Simulation, Strategy"
1167630,"Action, Indie, Simulation, Strategy"
323370,
2429640,"Action, Adventure, Massively Multiplayer, RPG, Free To Play"
526870,"Adventure, Indie, Simulation, Strategy"
815780,"Indie, Simulation, Sports"
212070,"Action, Adventure, Massively Multiplayer, RPG, Simulation, Free To Play"
2073850,"Action, Free To Play"
385800,"Casual, Indie"
329050,Action
672680,"Massively Multiplayer, Simulation, Strategy, Free To Play"
863550,Action
996470,Sports
1384160,Action
20920,RPG
327070,
908520,"Indie, Utilities"
1987080,"Adventure, Indie, Early Access"
1361210,"Action, Adventure, Indie"
214730,"Action, Adventure, RPG, Simulation, Strategy"
418460,"Action, Massively Multiplayer, Simulation, Strategy"
814380,"Action, Adventure"
369990,"Indie, Strategy"
248570,"Action, Indie, Strategy, Free To Play"
1318690,"Casual, Indie, Simulation, Strategy"
307780,Action
9900,"Massively Multiplayer, RPG, Free To Play"
20900,"Action, RPG"
49520,"Action, RPG"
1276760,"Action, Adventure, Casual"
1824220,"Action, Massively Multiplayer"
2427700,"Strategy, Early Access"
1606180,"Action, Adventure, Indie, RPG"
1446780,Action
9420,Strategy
367520,"Action, Adventure, Indie"
637090,"Action, Adventure, Strategy"
344760,"Action, Adventure, Indie, RPG, Simulation"
2338770,"Simulation, Sports"
39120,"Action, Adventure, Massively Multiplayer, RPG, Free To Play"
377670,"Adventure, Casual, Simulation"
977400,"Casual, Simulation, Free To Play"
630100,"Action, Free To Play, Massively Multiplayer, RPG"
300,Action
269470,"Audio Production, Utilities"
397540,"Action, RPG"
4500,"Action, RPG"
550900,"Action, Adventure, Free To Play, Massively Multiplayer, RPG"
2725560,"Casual, Indie, RPG, Simulation"
287700,"Action, Adventure"
299740,"Action, Adventure, Indie, Massively Multiplayer, RPG, Simulation, Strategy"
10500,Strategy
1971870,Aksiyon
349040,"Action, Adventure"
1604030,"Action, Adventure, Massively Multiplayer"
555570,"Action, Indie, Massively Multiplayer, RPG, Free To Play"
320,Action
560380,
290340,"Adventure, Indie, RPG, Strategy"
621830,Racing
1930,RPG
874240,
493340,"Action, Adventure, Casual, Simulation, Strategy"
1271700,Racing
575720,
1328660,"Action, Racing"
1222680,"Action, Adventure, Racing, Sports"
603850,Strategy
220200,"Indie, Simulation"
2203070,"Adventure, Massively Multiplayer, RPG, Strategy, Free To Play"
205990,Strategy
202090,
1399720,"Casual, Free To Play, Indie, Strategy"
1671200,"Action, Adventure, RPG, Free To Play"
1818750,"Action, Free To Play"
588430,"RPG, Simulation, Free To Play"
883710,Action
1832640,"Adventure, Indie, RPG, Early Access"
324810,"Action, Free To Play, Indie"
559650,"Action, Casual, Indie"
326480,"Adventure, Casual, Simulation"
1238840,"Action, Massively Multiplayer"
705220,
250340,"Action, Indie, Simulation"
257420,"Action, Adventure, Indie"
335240,"Free To Play, Indie, Massively Multiplayer"
17500,"Action, Adventure, Casual, Indie, Free To Play"
239160,"Action, Adventure"
945360,Casual
2074800,"Casual, Strategy"
346750,
304030,"Massively Multiplayer, RPG, Free To Play"
1367080,"Action, Free To Play"
1069660,"Indie, RPG, Simulation, Strategy"
2250040,Utilities
333930,
41700,"Action, RPG"
335300,"Action, RPG"
2141910,"Strategy, Free To Play"
1007040,Action
2064650,"Action, Massively Multiplayer, RPG, Free To Play"
219740,"Adventure, Indie, Simulation"
7940,Action
3016760,"Action, Adventure, Massively Multiplayer, RPG, Strategy, Free To Play"
234330,"Casual, RPG, Strategy, Free To Play"
203160,"Action, Adventure"
2059790,"Adventure, Indie, RPG, Strategy"
495420,"Action, RPG, Simulation"
47890,Simulation
458750,"Design & Illustration, Photo Editing"
933110,"Free To Play, Strategy"
91310,
919640,"Action, Indie, Simulation, Strategy"
242760,"Action, Adventure, Indie, Simulation"
238460,"Action, Adventure, Casual, Indie"
240720,Action
623080,"Adventure, Casual, Simulation"
280790,"Action, Adventure, Casual, Indie, Massively Multiplayer, RPG, Simulation"
295270,
231670,
1540960,"Free To Play, Indie, Strategy"
224600,"Action, Free To Play, Massively Multiplayer, RPG"
1928420,"Action, Adventure, Massively Multiplayer, Free To Play"
897330,"Casual, Indie, Free To Play"
952040,"Indie, Simulation"
1895300,"Free To Play, RPG"
892970,"Action, Adventure, Indie, RPG, Early Access"
364360,"Action, Strategy"
571260,Action
