appid,genres
365360,"Indie, RPG, Strategy"
1674170,"Action, Early Access, Indie, Simulation"
312530,"Action, Indie"
362620,"Early Access, Indie, Simulation, Strategy"
388080,"Action, Utilities"
2915660,"Adventure, Early Access, Indie, RPG, Simulation, Strategy"
557400,"Adventure, Casual, Free-to-Play, Indie, RPG, Simulation"
275850,"Action, Adventure"
489630,Strategy
2669320,"Simulation, Sports"
581130,"Adventure, RPG, Simulation, Strategy"
2897580,"Action, Casual, Early Access, Free-to-Play, Indie, Strategy"
4700,Strategy
374320,Action
262060,"Indie, RPG, Strategy"
1948800,"Casual, Free-to-Play, Indie, Strategy"
2808930,"Action, Adventure, Free-to-Play, MMO, RPG, Strategy"
2280,Action
601150,Action
1144170,"Free-to-Play, MMO, Simulation, Strategy"
1167630,"Action, Indie, Simulation, Strategy"
323370,nan
2429640,"Action, Adventure, Free-to-Play, MMO, RPG"
526870,"Adventure, Indie, Simulation, Strategy"
815780,"Indie, Simulation, Sports"
212070,"Action, Adventure, Free-to-Play, MMO, RPG, Simulation"
2073850,"Action, Free-to-Play"
385800,"Casual, Indie"
329050,Action
672680,"Free-to-Play, MMO, Simulation, Strategy"
863550,Action
996470,Sports
1384160,Action
20920,RPG
327070,nan
908520,"Indie, Utilities"
1987080,"Adventure, Early Access, Indie"
1361210,"Action, Adventure, Indie"
214730,"Action, Adventure, RPG, Simulation, Strategy"
418460,"Action, MMO, Simulation, Strategy"
814380,"Action, Adventure"
369990,"Indie, Strategy"
248570,"Action, Free-to-Play, Indie, Strategy"
1318690,"Casual, Indie, Simulation, Strategy"
307780,Action
9900,"Free-to-Play, MMO, RPG"
20900,"Action, RPG"
49520,"Action, RPG"
1276760,"Action, Adventure, Casual"
1824220,"Action, MMO"
2427700,"Early Access, Strategy"
1606180,"Action, Adventure, Indie, RPG"
1446780,Action
9420,Strategy
367520,"Action, Adventure, Indie"
637090,"Action, Adventure, Strategy"
344760,"Action, Adventure, Indie, RPG, Simulation"
2338770,"Simulation, Sports"
39120,"Action, Adventure, Free-to-Play, MMO, RPG"
377670,"Adventure, Casual, Simulation"
977400,"Casual, Free-to-Play, Simulation"
630100,"Action, Free-to-Play, MMO, RPG"
300,Action
269470,"Media & Production, Utilities"
397540,"Action, RPG"
4500,"Action, RPG"
550900,"Action, Adventure, Free-to-Play, MMO, RPG"
2725560,"Casual, Indie, RPG, Simulation"
287700,"Action, Adventure"
299740,"Action, Adventure, Indie, MMO, RPG, Simulation, Strategy"
10500,Strategy
1971870,Action
349040,"Action, Adventure"
1604030,"Action, Adventure, MMO"
555570,"Action, Free-to-Play, Indie, MMO, RPG"
320,Action
560380,nan
290340,"Adventure, Indie, RPG, Strategy"
621830,Racing
1930,RPG
874240,nan
493340,"Action, Adventure, Casual, Simulation, Strategy"
1271700,Racing
575720,nan
1328660,"Action, Racing"
1222680,"Action, Adventure, Racing, Sports"
603850,Strategy
220200,"Indie, Simulation"
2203070,"Adventure, Free-to-Play, MMO, RPG, Strategy"
205990,Strategy
202090,nan
1399720,"Casual, Free-to-Play, Indie, Strategy"
1671200,"Action, Adventure, Free-to-Play, RPG"
1818750,"Action, Free-to-Play"
588430,"Free-to-Play, RPG, Simulation"
883710,Action
1832640,"Adventure, Early Access, Indie, RPG"
