friend_id,Abfragestatus,Daten vorhanden
76561198863350141,Keine Spiele,
76561198865660167,Ja,
76561198880599895,Ja,
76561198886322651,Keine Spiele,
76561198892165839,Keine Spiele,
76561198950846766,Ja,
76561198970582736,Ja,
76561198980288650,Keine Spiele,
76561198992698433,Keine Spiele,
76561198999922927,Ja,
76561199020004917,Keine Spiele,
76561199028109408,Keine Spiele,
76561199077151306,Ja,
76561199160667799,Keine Spiele,
76561199324709825,Keine Spiele,
76561199487148581,Keine Spiele,
76561199496814018,Keine Spiele,
76561198072347742,Keine Spiele,
76561198099566673,Ja,
76561198100543198,Ja,
76561198116795411,Keine Spiele,
76561198130825729,Ja,
76561198138607300,Ja,
76561198220069483,Ja,
76561198241169458,Ja,
76561198328808550,Keine Spiele,
76561198329188667,Ja,
76561198342384727,Keine Spiele,
76561197995536925,Ja,
76561198008078545,Ja,
76561198034917313,Keine Spiele,
76561198035544820,Keine Spiele,
76561198047022629,Ja,
76561198057186747,Ja,PAYDAY 2
76561198070186422,Keine Spiele,
76561198071961233,Ja,
76561198072570210,Keine Spiele,
76561198076216643,Ja,PAYDAY 2
76561198085088765,Ja,PAYDAY 2
76561198097062127,Ja,
76561198113820868,Ja,PAYDAY 2
76561198128674955,Keine Spiele,
76561198136503016,Ja,PAYDAY 2
76561198145570899,Ja,PAYDAY 2
76561198158354754,Keine Spiele,
76561198161017907,Ja,
76561198165367733,Keine Spiele,
76561198171710089,Keine Spiele,
76561198172190470,Ja,
76561198175963227,Keine Spiele,
76561198184946682,Ja,PAYDAY 2
76561198203893836,Keine Spiele,
76561198205351704,Keine Spiele,
76561198248799702,Keine Spiele,
76561198342347316,Keine Spiele,
76561198344132470,Keine Spiele,
76561198365454705,Ja,PAYDAY 2
76561198797026887,Ja,
76561199254443630,Keine Spiele,
76561199634946461,Keine Spiele,
76561199759707895,Keine Spiele,
76561198037967832,Keine Spiele,
76561198056583705,Ja,
76561198058678677,Ja,
76561198060400127,Keine Spiele,
76561198084600018,Ja,PAYDAY 2
76561198086922513,Keine Spiele,
